"","ZIPCODE","total_income"
"1",0,106420533
"2",35004,258024
"3",35005,129390
"4",35006,58585
"5",35007,651350
"6",35010,382106
"7",35014,67885
"8",35016,333226
"9",35019,35392
"10",35020,262475
"11",35022,521539
"12",35023,480458
"13",35031,112152
"14",35033,67437
"15",35034,52030
"16",35035,31542
"17",35040,359868
"18",35042,96503
"19",35043,363943
"20",35044,124406
"21",35045,236772
"22",35046,119903
"23",35049,71762
"24",35051,186487
"25",35053,56083
"26",35054,109059
"27",35055,367096
"28",35057,247712
"29",35058,193500
"30",35061,22338
"31",35062,166756
"32",35063,50886
"33",35064,158799
"34",35068,164131
"35",35071,429825
"36",35072,66695
"37",35073,38479
"38",35077,203309
"39",35078,43389
"40",35079,168362
"41",35080,497600
"42",35083,49027
"43",35085,143261
"44",35087,31493
"45",35089,23105
"46",35091,70656
"47",35094,334785
"48",35096,156911
"49",35097,34245
"50",35098,22232
"51",35111,421283
"52",35114,181495
"53",35115,214105
"54",35116,110123
"55",35117,161475
"56",35118,62848
"57",35120,281075
"58",35121,290941
"59",35124,810227
"60",35125,179965
"61",35126,499321
"62",35127,213833
"63",35128,221123
"64",35130,51785
"65",35131,60741
"66",35133,71806
"67",35135,40963
"68",35136,28817
"69",35143,58739
"70",35146,258347
"71",35147,147215
"72",35148,47897
"73",35150,291829
"74",35151,134435
"75",35160,375569
"76",35171,64395
"77",35172,45596
"78",35173,936228
"79",35175,111450
"80",35176,14372
"81",35178,61942
"82",35179,171756
"83",35180,297411
"84",35183,12175
"85",35184,90262
"86",35186,120066
"87",35188,60178
"88",35203,114433
"89",35204,94598
"90",35205,405679
"91",35206,201727
"92",35207,86038
"93",35208,173117
"94",35209,973661
"95",35210,345133
"96",35211,335469
"97",35212,155232
"98",35213,1293991
"99",35214,310656
"100",35215,674208
"101",35216,1336734
"102",35217,168465
"103",35218,68477
"104",35221,51848
"105",35222,287060
"106",35223,1431781
"107",35224,67327
"108",35226,1434059
"109",35228,129068
"110",35233,37351
"111",35234,50361
"112",35235,390284
"113",35242,2995352
"114",35243,1139819
"115",35244,1435864
"116",35401,315953
"117",35404,291806
"118",35405,822156
"119",35406,770259
"120",35441,16680
"121",35442,69990
"122",35443,20633
"123",35444,76844
"124",35446,35485
"125",35447,48301
"126",35452,75188
"127",35453,215000
"128",35456,78127
"129",35458,10422
"130",35459,12435
"131",35460,6960
"132",35461,29641
"133",35462,69863
"134",35463,35641
"135",35464,6271
"136",35466,105205
"137",35469,4803
"138",35470,84246
"139",35473,380108
"140",35474,125246
"141",35475,462776
"142",35476,147811
"143",35480,31530
"144",35481,51598
"145",35490,88127
"146",35501,148052
"147",35503,154787
"148",35504,306016
"149",35540,35742
"150",35541,66325
"151",35542,18322
"152",35543,12196
"153",35544,8818
"154",35546,62873
"155",35548,20699
"156",35549,50390
"157",35550,81603
"158",35552,13314
"159",35553,67385
"160",35554,17531
"161",35555,155645
"162",35563,68740
"163",35564,26649
"164",35565,188695
"165",35570,151830
"166",35571,12352
"167",35572,17632
"168",35574,24477
"169",35575,15392
"170",35576,48917
"171",35578,74582
"172",35579,49613
"173",35580,64090
"174",35581,67730
"175",35582,77634
"176",35585,25268
"177",35586,61357
"178",35587,16459
"179",35592,71375
"180",35593,25470
"181",35594,133530
"182",35601,601773
"183",35603,843516
