"","zipcode","num of physicians","avg graduation year","avg group member"
"1","00007",2,1987,2
"2","00008",1,1982,0
"3","00009",2,1984,1
"4","00079",1,2013,0
"5","00080",2,1997,0
"6","00428",1,2012,0
"7","00600",2,1988,0
"8","00601",14,1991,0
"9","00602",69,1993,0
"10","00611",2,1985,0
"11","00613",28,1985,0
"12","00614",10,1989,0
"13","00616",5,1995,0
"14","00617",46,1997,0
"15","00619",2,1981,0
"16","00622",3,1995,0
"17","00624",17,1997,0
"18","00627",51,1993,0
"19","00630",2,1979,0
"20","00631",15,1989,0
"21","00633",2,1995,1
"22","00637",31,1994,0
"23","00638",10,1988,0
"24","00650",6,1992,0
"25","00652",8,1999,0
"26","00656",16,1995,0
"27","00659",59,1994,0
"28","00660",20,1994,0
"29","00662",72,1998,0
"30","00664",7,1986,0
"31","00667",26,1989,0
"32","00669",28,1993,0
"33","00670",5,2000,0
"34","00676",48,1996,0
"35","00677",30,1992,0
"36","00678",27,1992,0
"37","00681",18,1992,0
"38","00682",54,1994,0
"39","00685",89,1996,0
"40","00687",18,1989,0
"41","00688",7,1996,0
"42","00690",2,1981,0
"43","00692",72,1991,0
"44","00693",92,1993,0
"45","00694",7,1976,0
"46","00698",71,1991,0
"47","00703",7,1988,0
"48","00704",3,1988,0
"49","00705",89,1989,0
"50","00707",13,1988,0
"51","00708",2,1976,0
"52","00714",29,1993,0
"53","00715",2,1982,0
"54","00718",20,1992,0
"55","00719",42,1990,0
"56","00720",20,1990,0
"57","00721",1,1978,0
"58","00723",19,1994,0
"59","00726",89,1987,0
"60","00727",32,1993,0
"61","00728",20,1996,0
"62","00729",68,1992,0
"63","00730",33,1996,0
"64","00731",36,1988,0
"65","00732",16,1987,6.1
"66","00733",15,1992,0
"67","00735",8,1990,0
"68","00737",30,1995,0
"69","00738",134,1980,0
"70","00739",41,1992,0
"71","00745",44,1990,0
"72","00754",31,1992,0
"73","00757",40,1993,0
"74","00759",1,1984,0
"75","00765",7,1998,0
"76","00766",19,1993,0
"77","00767",40,1990,0
"78","00768",1,2006,0
"79","00769",28,1990,0
"80","00771",43,1988,0
"81","00772",4,1986,0
"82","00773",13,1996,0
"83","00775",8,1996,8
"84","00778",50,1992,0
"85","00780",58,1992,0
"86","00782",8,1988,0
"87","00783",41,1989,0
"88","00784",119,1991,0
"89","00785",15,1989,0
"90","00792",14,1993,0
"91","00794",25,1991,0
"92","00795",38,1994,0
"93","00801",12,1983,0
"94","00821",5,1988,0
"95","00823",6,1983,0
"96","00824",2,1993,1
"97","00830",3,1999,0
"98","00835",11,1992,209
"99","00840",8,1999,0
"100","00850",15,1990,0
"101","00872",1,2003,0
"102","00901",17,1984,0
"103","00902",4,1997,4
"104","00908",6,1980,0
"105","00910",41,1991,0
"106","00911",18,1992,0
"107","00912",15,1995,0
"108","00913",6,1992,0
"109","00914",9,1996,209
"110","00915",8,1987,0
"111","00916",2,1998,0
"112","00919",72,1992,0
"113","00922",13,1991,0
"114","00924",53,1990,0
"115","00925",41,1990,0
"116","00927",78,1991,0
"117","00928",16,1992,0
"118","00929",17,1990,0
"119","00935",81,1991,0
"120","00950",8,1992,0
"121","00952",1,1996,0
"122","00954",5,2000,0
"123","00956",99,1994,0
"124","00957",41,1988,0
"125","00958",2,1981,0
"126","00962",18,1989,0
"127","00965",4,1994,0
"128","00966",30,1997,0
"129","00969",123,1993,0
"130","00970",6,1998,0
"131","00971",2,2001,0
"132","00976",47,1995,0
"133","00977",4,1990,0
"134","00978",1,1991,1
"135","00979",33,1990,0
"136","00980",2,1981,0
"137","00982",33,1984,0
"138","00984",60,1993,0
"139","00985",89,1988,0
"140","00986",18,1997,0
"141","00987",21,1991,0
"142","00988",2,1982,0
"143","00993",1,1970,0
"144","01001",24,1988,0
"145","01002",177,1994,0
"146","01005",3,1980,0
"147","01007",13,1988,0
"148","01013",15,1997,0
"149","01027",34,1991,0
"150","01028",46,1996,0
"151","01030",10,1986,0
"152","01033",1,2004,0
"153","01036",3,1994,0
"154","01041",15,1994,19
"155","01053",1,1981,0
"156","01054",1,1986,0
"157","01056",24,1985,0
"158","01057",2,1992,0
"159","01073",3,1984,0
"160","01075",50,1988,0
"161","01077",3,1992,0
"162","01080",1,1981,0
"163","01082",28,1991,0
"164","01088",3,2003,3
"165","01089",132,1992,0
"166","01093",1,1992,1
"167","01095",25,1988,0
"168","01098",5,2000,5
"169","01103",67,1996,0
"170","01105",188,2001,0
"171","01106",43,1986,0
"172","01108",9,1995,0
"173","01109",35,1991,0
"174","01119",2,1976,0
"175","01128",13,1992,13
"176","01151",3,1994,3
"177","01220",16,1998,18.6
"178","01223",1,1982,0
"179","01226",5,1985,0
"180","01236",3,1998,0
"181","01237",3,1990,0
"182","01238",17,1997,0
"183","01240",26,1989,0
"184","01245",1,2005,0
"185","01247",69,1995,0
"186","01254",1,1974,0
"187","01257",3,1983,0
"188","01258",2,1995,0
"189","01262",11,1990,0
